Date,Commodity,Variety,Min_Price,Max_Price,Modal_Price,District,Market,Arrival_Quantity,Demand,
5/29/2020,Rice,Other,2750,3100,2950,Pune,Pune,900,0,
03-09-2020,Rice,Other,7000,9500,8250,Pune,Pune,100,0,
6/16/2020,Rice,Other,2700,2900,2800,Pune,Pune,100,0,
08-01-2020,Rice,Other,7300,9300,8350,Pune,Pune,200,0,
07-02-2020,Rice,Other,7300,9300,8300,Pune,Pune,200,0,
6/30/2020,Rice,Other,3200,5600,4450,Pune,Pune,300,0,
11/13/2023,Potato,Local,1000,2000,1500,Pune,Pune,29800,0.2,
6/24/2024,Potato,Local,2500,3000,2750,Pune,Pune,40100,0.15,
09-11-2024,Potato,Local,2000,3000,2500,Pune,Pune,40400,0.16,
4/15/2025,Potato,Local,1000,2000,1500,Pune,Pune,41100,0.27,
06-06-2024,Potato,Local,2000,2700,2350,Pune,Pune,43800,0.19,
8/23/2023,Potato,Local,1200,2000,1600,Pune,Pune,44500,0.28,
5/27/2024,Potato,Local,2000,2600,2300,Pune,Pune,47800,0.21,
5/30/2025,Potato,Local,1400,2200,1800,Pune,Pune,48800,0.27,
6/14/2024,Potato,Local,2000,2800,2400,Pune,Pune,50900,0.21,
4/25/2025,Potato,Local,1200,2100,1650,Pune,Pune,51700,0.31,
4/19/2024,Potato,Local,1600,2600,2100,Pune,Pune,53000,0.25,
04-01-2024,Potato,Local,1800,2500,2150,Pune,Pune,53300,0.25,
04-07-2025,Potato,Local,1200,2100,1650,Pune,Pune,53400,0.32,
11-08-2023,Potato,Local,800,2000,1400,Pune,Pune,54200,0.39,
6/20/2024,Potato,Local,2500,3000,2750,Pune,Pune,56200,0.2,
12/27/2024,Potato,Local,1200,3000,2100,Pune,Pune,56500,0.27,
02-04-2024,Potato,Local,1200,1700,1450,Pune,Pune,61500,0.42,
05-11-2025,Potato,Local,1300,2200,1750,Pune,Pune,62000,0.35,
07-04-2023,Potato,Local,1000,2100,1550,Pune,Pune,62600,0.4,
9/22/2023,Potato,Local,1000,1800,1400,Pune,Pune,62900,0.45,
6/13/2025,Potato,Local,1200,2200,1700,Pune,Pune,63100,0.37,
4/22/2024,Potato,Local,1800,2600,2200,Pune,Pune,65500,0.3,
4/27/2025,Potato,Local,1000,2100,1550,Pune,Pune,68700,0.44,
9/16/2024,Potato,Local,2000,3000,2500,Pune,Pune,68800,0.28,
7/17/2025,Potato,Local,800,1900,1350,Pune,Pune,72600,0.54,
11/21/2023,Potato,Local,1200,2200,1700,Pune,Pune,73000,0.43,
2/13/2024,Potato,Local,1500,1900,1700,Pune,Pune,74200,0.44,
09-06-2023,Potato,Local,1100,2000,1550,Pune,Pune,74900,0.48,
10-04-2023,Potato,Local,1300,2000,1650,Pune,Pune,75300,0.46,
3/14/2024,Potato,Local,1400,2300,1850,Pune,Pune,75600,0.41,
1/18/2024,Potato,Local,1100,1700,1400,Pune,Pune,75900,0.54,
07-11-2023,Potato,Local,1200,2000,1600,Pune,Pune,76200,0.48,
12-12-2024,Potato,Local,1000,3600,2300,Pune,Pune,76800,0.33,
2/24/2025,Potato,Local,1200,1900,1650,Pune,Pune,77600,0.47,
03-11-2024,Potato,Local,1500,2200,1850,Pune,Pune,78100,0.42,
10/16/2023,Potato,Local,1200,2100,1650,Pune,Pune,79500,0.48,
1/24/2025,Potato,Local,1300,2000,1650,Pune,Pune,80100,0.49,
1/19/2025,Potato,Local,1400,2200,1800,Pune,Pune,81000,0.45,
1/21/2024,Potato,Local,800,1600,1200,Pune,Pune,84200,0.7,
1/19/2024,Potato,Local,800,1600,1200,Pune,Pune,84700,0.71,
01-05-2025,Potato,Local,1400,2200,1800,Pune,Pune,85400,0.47,
11/19/2023,Potato,Local,1000,2000,1500,Pune,Pune,85500,0.57,
